x,y,n
375.0,202.0,100
376.0,107.0,100
379.0,176.0,42
379.0,370.0,210
380.0,166.0,147
381.0,27.0,52
381.0,383.0,243
383.0,236.0,342
383.0,350.0,194
384.0,257.0,182
387.0,157.0,32
390.0,117.0,62
390.0,138.0,34
391.0,86.0,126
391.0,196.0,287
394.0,62.0,90
395.0,29.0,55
397.0,272.0,236
398.0,308.0,120
402.0,230.0,267
403.0,149.0,202
404.0,76.0,79
405.0,78.0,59
405.0,220.0,133
405.0,252.0,249
407.0,7.0,35
407.0,31.0,49
407.0,196.0,199
409.0,109.0,190
409.0,267.0,210
411.0,239.0,152
412.0,161.0,146
413.0,101.0,207
413.0,188.0,105
413.0,249.0,242
414.0,81.0,113
415.0,28.0,79
415.0,36.0,24
415.0,65.0,57
418.0,92.0,85
420.0,163.0,134
421.0,74.0,164
421.0,270.0,341
422.0,24.0,1
422.0,33.0,48
425.0,173.0,160
426.0,212.0,227
427.0,137.0,128
427.0,225.0,252
429.0,82.0,115
430.0,63.0,63
431.0,273.0,248
432.0,28.0,38
434.0,53.0,27
434.0,507.0,33
435.0,121.0,49
437.0,106.0,173
437.0,188.0,110
439.0,170.0,118
439.0,201.0,102
441.0,6.0,26
442.0,23.0,21
442.0,32.0,34
442.0,48.0,51
443.0,516.0,122
444.0,211.0,112
445.0,295.0,174
447.0,401.0,165
448.0,54.0,71
448.0,111.0,148
448.0,347.0,85
449.0,36.0,60
449.0,202.0,273
449.0,317.0,187
450.0,132.0,62
450.0,154.0,120
451.0,83.0,92
452.0,512.0,16
454.0,47.0,62
454.0,269.0,214
455.0,158.0,63
455.0,168.0,90
455.0,519.0,96
456.0,31.0,42
459.0,130.0,141
459.0,304.0,259
460.0,344.0,146
461.0,508.0,38
462.0,61.0,77
462.0,144.0,67
462.0,190.0,28
463.0,87.0,12
465.0,52.0,60
466.0,33.0,54
468.0,159.0,137
468.0,195.0,25
468.0,257.0,170
470.0,72.0,84
470.0,266.0,120
470.0,291.0,220
471.0,105.0,104
473.0,44.0,80
473.0,57.0,65
473.0,90.0,98
474.0,19.0,42
475.0,191.0,148
475.0,305.0,157
476.0,27.0,21
477.0,282.0,165
478.0,231.0,66
478.0,508.0,136
480.0,176.0,223
480.0,197.0,80
480.0,252.0,81
482.0,86.0,39
483.0,121.0,10
483.0,162.0,62
483.0,190.0,123
484.0,183.0,127
488.0,192.0,42
488.0,349.0,93
488.0,369.0,69
489.0,289.0,46
491.0,204.0,64
