x,y,n
435.0,120.0,227
435.0,379.0,83
436.0,456.0,72
438.0,501.0,30
439.0,421.0,56
443.0,528.0,19
444.0,207.0,264
444.0,531.0,32
450.0,215.0,281
450.0,310.0,188
455.0,491.0,34
456.0,425.0,64
461.0,218.0,276
464.0,94.0,177
468.0,183.0,85
475.0,394.0,97
478.0,104.0,338
480.0,66.0,77
485.0,218.0,154
