cluster,words,prominence
2,homepage blog web surf cookies comment site you pleasant body bookmarked nice weblog website excellent hi your browser topic webpage hello fantastic bookmark really page addthis informative visit if viagra superb cialis content ve fastidious info writing blogger thanks cheers salope definitely so can lot things generic entries charleston zoe,216.51419480365124
0,nachtwey james award photographer capa commenting photojournalist pinterest icon dartmouth log awards photographers photographs photojournalism account career photography houston photo magazine prize fill archival famine archives nominated your witness exhibition el reply facebook using wordpress entries photographic pigment winner canon war photobook navigation viewer posts pictures photographing exhibitions documenting documentary,196.86151546232313
1,hutus genocide tutsi tutsis rwandan burundi rwanda hutu extremists habyarimana rwandans ethnic moderate slaughtered rpf kigali patriotic killing juvenal slaughter machetes killings kagame nations minority belgian congo president government killed belgians colonial un interahamwe killers country belgium estimated majority massacre independence zaire republic tanzania leaders population plane were dallaire mass,190.62813061532663
3,boy child woman old earthquake soldier holds korean girl after mother protests camp police during vietnam man square prisoner husband wounded son fire liberated protest suicide daughter vietnamese baby village playing soldiers escape gas indian her caption young suspected year survived father hour tribe killed victims his family nationality city,91.99615911869908
