cluster,words,prominence
0,crackdown government protests massacre chinese webbot startspan protesters htmlmarkup demonstrations endspan communist tiananmen beijing demonstrators reforms authorities china suppression hundreds candlelight democracy vigil mainland reform anniversary students pro hpi officials unarmed thousands student civilians kong leaders dissent hong repression country killed party commemoration activists commemorate citizens dissidents regime brutal ccp,1439.2123833024457
1,fromprice captcha hpi wallpapers memebase gifs endspan plugins startspan webbot htmlmarkup auth you your etsy really just wallpaper content can good something re decorations get bot forums ll do login cookies password things stuff cltx analytics ve memes popupmenu userinfo postbit it sillymickel page embed lol if interesting all know,1294.3100534446091
2,fromprice captcha javascript browser hpi blog wordpress interesting plugins this photographs auth page your unknown sillymickel photographers sure iconic something tank decorations src jeff find tanks one using meta notifications commenting photos you etsy image widener pages lone man cole powered picture archives photograph userinfo just webbot tpl postbit cookies,1136.477563252942
