cluster,words,prominence
0,civil leap millions communists economy revolution communist japanese peasants nationalist forces soviet chiang revolutionary forward communism led mao zedong years people kai shek cultural republic was march war korea japan deng stalin kuomintang rule became party korean taiwan had victory economic began made mass country democracy died were liberation leader,147.58876646446222
1,you google your please facebook website tattoo news site subscribe twitter think breaking using find instagram related artist information here account access are can if do posts follow this article more or cruise share dec about good available to know am is photos video way down want have just what,125.41182254212598
2,available stock assets results images search pictures photos related access family clear tung show your region thousands tse such strategic use find or only should for these through not first at province this to book with mao is and be country as great republic more of cultural new zedong square,35.99941099341188
