cluster,words,prominence
0,detainees detention aclu abuse interrogation torture prison detainee ghraib abu cia personnel intelligence iraq iraqi baghdad taguba prisoners abuses islamabad bush custody gen memos scandal prisons release facilities inmates investigation contractors interrogators nbsp dele secret senate giwa iraqis notorious waterboarding attorney prisoner detained abacha court interrogations officials tortured administration mso,343.68024207664206
1,kirkman nbsp comic comics mso dele giwa think font harman fig tan say doing good voor brotherhood them me hooded ze maar worden what fri anything hood my cat myself can something if sgt things know seem see zimbardo characters enjoy babangida they pain someone just een don islamabad viewer,242.41862350346895
2,ebay pbs craigslist subscribe blog msn archives copyright reserved check updates email online app comments ook error available voor cookies google search lastwordpress content topics shop youtube stock follow mso please posts popular worden hotels maar your een journalism thread template user zijn niet font als share this gallery nbsp,201.56398406938334
3,cookies sociology ads advertising device products apple activation product computer publications user your content paper customers you app features download access can mso brand art website template make font experience technologies please data choices google understand available cultural provide ad fun culture online advertisement figures free pubmed do facebook how,88.83007822718807
4,commenting icon neil log wordpress picture moon fill photographer armstrong photo account twitter photograph image google camera using photographed took reply pictures capa man photographers followers facebook parks photography taken photographs archives shot navigation symbol receive moment friend blog brady iconic this famous posts seen portraits young pulitzer details an,59.507072123318096
